['2015-09-05T03:51:00', 'æøå', 'A Canadian warplane mistakenly broadcast its location over Islamic State controlled territory http://t.co/Vi8cNgOjCR/s/dHC;;;;;\r']
['2015-09-05T04:49:00', 'æøå', 'Couple of the tweets gives you an idea of the situation at that time.. http://t.co/Y6bNsEVSuS/s/G2Wb;;;;;\r']
['2015-09-05T06:07:00', 'æøå', '""What happened to all the AQAP leaders? Story of a mubahala";;;;;\r']
['2015-09-05T11:43:00', 'æøå', '""Islamic state";;;;;\r']
['2015-09-05T11:44:00', 'æøå', '""@update_my_info: #دولة_الخلافة";;;;;\r']
['2015-09-05T11:44:00', 'æøå', '""ن";;;;;\r']
['2015-09-05T12:58:00', 'æøå', '""@1436RpG: Coming soon...";;;;;\r']
['2015-09-05T13:01:00', 'æøå', '""@AK47_PK: Coming soon...";;;;;\r']
['2015-09-05T13:15:00', 'æøå', '""@Mustafaklashin7: Correction: while ghouta is besieged']
['2015-09-05T13:18:00', 'æøå', '""Islamic state ";;;;;\r']
['2015-09-05T13:30:00', 'æøå', 'Al jazeera source of recruitment for IS?! 😯You know the same chann;;;;;\r']
['2015-09-05T13:30:00', 'æøå', 'el that had interview with Jowlani http://t.co/zBqJFqjTWC/s/lw9o;;;;;\r']
['2015-09-05T13:30:00', 'æøå', '""@JoinISNation78: #IS #WilayatHims #Syria";;;;;\r']
['2015-09-05T13:31:00', 'æøå', '. 📷 https://t.co/vMbMC7vknY/s/B_S0 http://t.co/j8JSnbHk81/s/PYj5;;;;;\r']
['2015-09-05T13:49:00', 'æøå', '""ولاية_كركوك";;;;;\r']
['2015-09-05T13:49:00', 'æøå', 'eV/s/HtVd http://t.co/8fksuAyrCU/s/K1kK;;;;;\r']
['2015-09-05T14:06:00', 'æøå', '""Shame on you Arabs";"Shame on you Islamic countries Shame on you Gulf countries You\'re no less than#Assad Syria https://t.co/ITW4lOrXA8/s/BjNS""";;;;\r']
['2015-09-05T14:08:00', 'æøå', '""La hawla walā quwwata illā billah.";;;;;\r']
['2015-09-05T14:08:00', 'æøå', '""ly the taghūt Hādī']
['2015-09-05T14:09:00', 'æøå', 'hīs;;;;;\r']
['2015-09-05T14:13:00', 'æøå', 'Those poor children lost their parents only to be taken in by killers liars thieves terrorists and traitors. What good can come out of it;;;;;\r']
['2015-09-05T14:23:00', 'æøå', '""الدولة_الإسلامية کے خلاف #امریکہ کی #القاعدة کی مدد پر #انصاراللہ ا""";;;;;\r']
['2015-09-05T14:23:00', 'æøå', '""ردو کا تبصرہ";;;;;\r']
['2015-09-05T14:24:00', 'æøå', 'R08o/s/q8SJ;;;;;\r']
['2015-09-05T14:46:00', 'æøå', '""NEW strategy of the US']
['2015-09-05T14:55:00', 'æøå', '""@abubakrmuwahid: Sahwat withdraw from an area inside #Marea as IS advances ";;;;;\r']
['2015-09-05T15:46:00', 'æøå', '""#حمص | #الدولة_الاسلامية نے اسدی فورسز کے ساتھـ جھڑپوں کے بعد جزل ا""";;;;;\r']
['2015-09-05T15:46:00', 'æøå', 'ٓئل فیلڈ کے کچھـ حصوں پر کنٹرول کرلیا ہے۔;;;;;\r']
['2015-09-05T15:48:00', 'æøå', 'Al-Shabab takes control of two towns in Somalia http://t.co/IkqRxIlODN/s/oGTD http://t.co/FV1mg3gnF4/s/BTDk;;;;;\r']
['2015-09-05T16:42:00', 'æøå', '""@Jazrawi_Ouud: Turkish soldier kidnapped thought to be taken by smugglers and not Islamic state #Turkey http://t.co/f81N3lyT6I/s/3bk-""";;;;;\r']
